,Ozone,solar,Wind,Temp C,Month,Day,Year,Weather
54,41.81512605042017,250.0,6.3,76.0,6.0,24,2010,S
55,41.81512605042017,135.0,8.0,75.0,6.0,25,2010,C
56,41.81512605042017,127.0,8.0,78.0,6.0,26,2010,PS
57,41.81512605042017,47.0,10.3,73.0,6.0,27,2010,C
58,41.81512605042017,98.0,11.5,80.0,6.0,28,2010,PS
59,41.81512605042017,31.0,14.9,77.0,6.0,29,2010,S
60,41.81512605042017,138.0,8.0,83.0,6.0,30,2010,S
61,135.0,269.0,4.1,84.0,7.0,1,2010,S
62,49.0,248.0,9.2,85.0,7.0,2,2010,C
63,32.0,236.0,9.2,81.0,7.0,3,2010,PS
64,41.81512605042017,101.0,10.9,84.0,7.0,4,2010,S
65,64.0,175.0,4.6,83.0,7.0,5,2010,S
66,40.0,314.0,10.9,83.0,7.0,6,2010,C
67,77.0,276.0,5.1,88.0,7.0,7,2010,C
68,97.0,267.0,6.3,92.0,7.0,8,2010,PS
69,97.0,272.0,5.7,92.0,7.0,9,2010,C
70,85.0,175.0,7.4,89.0,7.0,10,2010,PS
71,41.81512605042017,139.0,8.6,82.0,7.0,11,2010,S
72,10.0,264.0,14.3,73.0,7.0,12,2010,S
73,27.0,175.0,14.9,81.0,7.0,13,2010,S
74,41.81512605042017,291.0,14.9,91.0,7.0,14,2010,C
75,7.0,48.0,14.3,80.0,7.0,15,2010,PS
76,48.0,260.0,6.9,81.0,7.0,16,2010,S
77,35.0,274.0,10.3,82.0,7.0,17,2010,S
78,61.0,285.0,6.3,84.0,7.0,18,2010,C
79,79.0,187.0,5.1,87.0,7.0,19,2010,PS
80,63.0,220.0,11.5,85.0,7.0,20,2010,C
81,16.0,7.0,6.9,74.0,7.0,21,2010,S
82,41.81512605042017,258.0,9.7,81.0,7.0,22,2010,S
83,41.81512605042017,295.0,11.5,82.0,7.0,23,2010,C
84,80.0,294.0,8.6,86.0,7.0,24,2010,PS
85,108.0,223.0,8.0,85.0,7.0,25,2010,PS
86,20.0,81.0,8.6,82.0,7.0,26,2010,C
87,52.0,82.0,12.0,86.0,7.0,27,2010,S
88,82.0,213.0,7.4,88.0,7.0,28,2010,S
89,50.0,275.0,7.4,86.0,7.0,29,2010,C
90,64.0,253.0,7.4,83.0,7.0,30,2010,PS
91,59.0,254.0,9.2,81.0,7.0,31,2010,C
92,39.0,83.0,6.9,81.0,8.0,1,2010,PS
93,9.0,24.0,13.8,81.0,8.0,2,2010,S
94,16.0,77.0,7.4,82.0,8.0,3,2010,PS
95,78.0,185.36666666666667,6.9,86.0,8.0,4,2010,S
96,35.0,185.36666666666667,7.4,85.0,8.0,5,2010,S
97,66.0,185.36666666666667,4.6,87.0,8.0,6,2010,C
98,122.0,255.0,4.0,89.0,8.0,7,2010,C
99,89.0,229.0,10.3,90.0,8.0,8,2010,PS
100,110.0,207.0,8.0,90.0,8.0,9,2010,C
101,41.81512605042017,222.0,8.6,92.0,8.0,10,2010,PS
102,41.81512605042017,137.0,11.5,86.0,8.0,11,2010,S
103,44.0,192.0,11.5,86.0,8.0,12,2010,S
104,28.0,273.0,11.5,82.0,8.0,13,2010,S
105,65.0,157.0,9.7,80.0,8.0,14,2010,C
106,41.81512605042017,64.0,11.5,79.0,8.0,15,2010,C
107,22.0,71.0,10.3,77.0,8.0,16,2010,C
108,59.0,51.0,6.3,79.0,8.0,17,2010,PS
109,23.0,115.0,7.4,76.0,8.0,18,2010,C
110,31.0,244.0,10.9,78.0,8.0,19,2010,PS
111,44.0,190.0,10.3,78.0,8.0,20,2010,S
112,21.0,259.0,15.5,77.0,8.0,21,2010,S
113,9.0,36.0,14.3,72.0,8.0,22,2010,C
114,41.81512605042017,255.0,12.6,75.0,8.0,23,2010,PS
115,45.0,212.0,9.7,79.0,8.0,24,2010,C
116,168.0,238.0,3.4,81.0,8.0,25,2010,PS
117,73.0,215.0,8.0,86.0,8.0,26,2010,S
118,41.81512605042017,153.0,5.7,88.0,8.0,27,2010,S
119,76.0,203.0,9.7,97.0,8.0,28,2010,S
120,118.0,225.0,2.3,94.0,8.0,29,2010,S
121,84.0,237.0,6.3,96.0,8.0,30,2010,S
122,85.0,188.0,6.3,94.0,8.0,31,2010,C
123,96.0,167.0,6.9,91.0,9.0,1,2010,C
124,78.0,197.0,5.1,92.0,9.0,2,2010,PS
125,73.0,183.0,2.8,93.0,9.0,3,2010,C
126,91.0,189.0,4.6,93.0,9.0,4,2010,PS
127,47.0,95.0,7.4,87.0,9.0,5,2010,S
128,32.0,92.0,15.5,84.0,9.0,6,2010,S
129,20.0,252.0,10.9,80.0,9.0,7,2010,S
130,23.0,220.0,10.3,78.0,9.0,8,2010,C
131,21.0,230.0,10.9,75.0,9.0,9,2010,PS
132,24.0,259.0,9.7,73.0,9.0,10,2010,C
133,44.0,236.0,14.9,81.0,9.0,11,2010,PS
134,21.0,259.0,15.5,76.0,9.0,12,2010,S
135,28.0,238.0,6.3,77.0,9.0,13,2010,S
136,9.0,24.0,10.9,71.0,9.0,14,2010,PS
137,13.0,112.0,11.5,71.0,9.0,15,2010,PS
138,46.0,237.0,6.9,78.0,9.0,16,2010,S
139,18.0,224.0,13.8,67.0,9.0,17,2010,PS
140,13.0,27.0,10.3,76.0,9.0,18,2010,S
141,24.0,238.0,10.3,68.0,9.0,19,2010,C
142,16.0,201.0,8.0,82.0,9.0,20,2010,PS
143,13.0,238.0,12.6,64.0,9.0,21,2010,PS
144,23.0,14.0,9.2,71.0,9.0,22,2010,S
145,36.0,139.0,10.3,81.0,9.0,23,2010,S
146,7.0,49.0,10.3,69.0,9.0,24,2010,C
147,14.0,20.0,16.6,63.0,9.0,25,2010,PS
148,30.0,193.0,6.9,70.0,9.0,26,2010,C
149,41.81512605042017,145.0,13.2,77.0,9.0,27,2010,PS
150,14.0,191.0,14.3,75.0,9.0,28,2010,S
151,18.0,131.0,8.0,76.0,9.0,29,2010,PS
152,20.0,223.0,11.5,68.0,9.0,30,2010,S
153,41.0,190.0,7.4,67.0,5.0,1,2010,C
154,30.0,193.0,6.9,70.0,9.0,26,2010,PS
155,41.81512605042017,145.0,13.2,77.0,9.0,27,2010,S
157,18.0,131.0,8.0,76.0,9.0,29,2010,C
